r,l,t
-100,1,3374.547557
-100,1,3378.447195
-100,1,3382.326162
-149,3,3390.188293
-99,2,3396.139038
-99,2,3401.9074
-149,3,3409.663624
-86,4,3419.582113
-100,1,3423.473465
-45,6,3436.678936
104,9,3454.392726
-99,2,3460.581043
-95,3,3468.171252
-99,2,3473.984936
-86,4,3483.55004
-100,1,3487.414152
-70,5,3498.688776
-100,1,3502.680276
-99,2,3508.533167
-45,6,3521.788871
-100,1,3525.744064
-95,3,3533.153438
-86,4,3542.558264
-95,3,3550.214779
-99,2,3556.077564
-86,4,3565.628315
-145,4,3575.454066
-100,1,3579.41802
-145,4,3589.000279
-149,3,3598.075383
-99,2,3603.979402
-95,3,3611.596449
-100,1,3615.515119
-95,3,3623.044656
-70,5,3634.384758
-100,1,3638.218322
-120,6,3651.738314
-86,4,3661.119784
-100,1,3664.942783
-100,1,3668.734196
-100,1,3673.189222
-95,3,3680.888017
-100,1,3684.807827
-86,4,3694.242747
-86,4,3703.880259
-99,2,3709.749323
-9,7,3724.578467
-86,4,3734.452564
-100,1,3738.33635
-95,3,3745.898662
-100,1,3749.714288
-100,1,3753.538315
-86,4,3763.092973
-86,4,3772.565065
-100,1,3776.506957
-95,3,3784.062358
-100,1,3787.857883
-100,1,3791.801549
-70,5,3803.003826
-95,3,3810.491836
-99,2,3816.582035
-45,6,3829.408958
-145,4,3839.210231
-136,5,3850.84653
-9,7,3865.766454
-100,1,3869.740505
-136,5,3881.152202
-99,2,3886.679678
-99,2,3892.526125
-70,5,3903.70795
-95,3,3911.367037
-45,6,3924.740676
-95,3,3932.316212
-95,3,3940.071922
-100,1,3944.06046
-150,2,3950.256216
-99,2,3956.062697
-99,2,3961.823394
-45,6,3974.354515
-95,3,3982.095554
-100,1,3985.906716
-99,2,3991.760411
-145,4,4001.36332
-99,2,4007.246867
-145,8,4023.892431
-100,1,4027.867844
-99,2,4033.739823
-100,1,4037.734908
-45,6,4050.543592
-95,3,4057.94296
-9,7,4072.438002
-100,1,4076.388423
-95,3,4084.054569
-95,3,4091.57523
-70,5,4102.784721
-86,4,4112.265092
-95,3,4120.017951
-86,4,4129.530042
-100,1,4133.444963
-100,1,4137.549572
-100,1,4141.523025
-86,4,4151.127674
-70,5,4162.417131
-95,3,4170.252874
-95,3,4178.047523
-100,1,4182.061472
-100,1,4185.918738
-86,4,4195.8073
-100,1,4199.698842
-100,1,4203.66177
-120,6,4216.73674
-150,2,4222.608118
-70,5,4233.828062
-70,5,4245.084893
-100,1,4248.932938
-150,2,4254.931582
-100,1,4258.854702
-86,4,4268.573632
-95,3,4276.2336
-100,1,4280.059227
-100,1,4283.932692
-99,2,4289.895407
-99,2,4295.543493
-150,2,4301.316269
-70,5,4312.636941
-95,3,4320.203698
-99,2,4326.116929
-100,1,4330.219712
-100,1,4334.122797
-86,4,4343.826341
-70,5,4355.43619
-70,5,4367.128714
-100,1,4371.249637
-45,6,4384.291647
-95,3,4392.06372
-70,5,4403.497849
-99,2,4408.977403
-149,3,4416.468999
-86,4,4426.159035
-100,1,4430.026733
-95,3,4437.592233
-100,1,4441.593476
-99,2,4447.347196
-99,2,4453.11686
-99,2,4458.919663
-70,5,4469.861739
-70,5,4480.966947
-100,1,4484.871236
-45,6,4497.937096
-100,1,4501.901991
-99,2,4507.306254
-99,2,4513.014356
-149,3,4520.65485
-95,3,4528.36421
-150,2,4534.155873
-70,5,4545.292198
-145,4,4555.246984
-100,1,4559.110887
-95,3,4567.033952
-100,1,4570.982112
-99,2,4576.556547
-9,7,4591.291579
-100,1,4595.255324
-99,2,4601.215853
-100,1,4605.076107
-100,1,4608.94096
-99,2,4614.547519
-95,3,4621.976761
-86,4,4631.673398
-100,1,4635.683906
-99,2,4641.54595
-149,3,4649.225263
-95,3,4656.789839
-99,2,4662.340792
-99,2,4668.147913
-100,1,4672.05572
-70,5,4683.179309
-99,2,4689.398135
-100,1,4693.31356
-99,2,4699.109511
-95,3,4706.708604
-99,2,4712.610945
-120,6,4725.757242
-100,1,4729.61541
-99,2,4735.439346
-100,1,4739.361253
-100,1,4743.360789
-99,2,4749.137003
-100,1,4753.145265
-95,7,4768.359632
-86,4,4777.983004
-86,4,4787.51329
-95,7,4803.677204
-99,2,4809.375292
-95,3,4817.154887
-99,2,4823.147718
-100,1,4826.95199
-95,3,4834.504484
-100,1,4838.475961
-99,2,4844.427632
-95,3,4852.332701
-100,1,4856.149292
-99,2,4861.880791
-145,4,4871.225127
-100,1,4875.099211
-95,3,4882.686349
-99,2,4888.45411
-99,2,4894.342075
-45,6,4907.325906
-99,2,4913.074124
-100,1,4917.116066
-100,1,4920.981067
-99,2,4926.743921
-136,5,4937.849773
-100,1,4941.795141
-95,3,4949.463686
-9,7,4964.49636
-99,2,4970.369904
-100,1,4974.450623
-95,3,4982.076458
-95,3,4989.693034
-100,1,4993.50805
-100,1,4997.474158
-95,3,5005.271596
-100,1,5009.399653
-100,1,5013.244537
-99,2,5018.963892
-99,2,5024.90709
-100,1,5028.748832
-70,5,5039.92208
-86,4,5049.493706
-70,5,5060.459207
-200,3,5068.401064
-95,3,5075.836575
-100,1,5079.799654
-100,1,5083.685256
-100,1,5087.503169
-149,3,5095.176601
-95,3,5102.838331
-86,4,5112.781823
-99,2,5118.677047
-99,2,5124.452755
-100,1,5128.39871
-100,1,5132.270468
40,8,5148.540146
-100,1,5152.509491
-95,3,5160.184759
-100,1,5164.129748
-145,8,5180.798897
-99,2,5186.708764
-95,7,5201.332578
