r,l,t
-99,2,1586.07901
-95,7,1589.92603
-45,6,1593.366134
-70,5,1596.312392
-70,5,1599.140182
-86,4,1601.397475
-120,6,1604.861857
-70,5,1607.724739
-45,6,1611.211613
-120,6,1614.610171
-59,8,1618.933494
-99,2,1620.253128
-70,5,1623.151095
-170,7,1627.276894
406,12,1633.314155
104,9,1637.93357
-45,6,1641.258367
-99,2,1642.558992
-99,2,1643.846571
-99,2,1645.167716
-99,2,1646.432971
-160,12,1652.779126
-86,4,1655.155301
-86,4,1657.557744
-136,5,1660.376323
-95,3,1662.32939
-99,2,1663.630815
-99,2,1664.975454
-95,3,1666.815412
-70,5,1669.76211
40,8,1674.053349
-70,5,1676.788341
-70,5,1679.662859
-99,2,1680.986294
-99,2,1682.2478
135,11,1687.604021
-70,5,1691.064692
-99,2,1692.477411
-95,3,1694.311348
-99,2,1695.605339
-45,6,1698.841794
-70,5,1701.648416
-86,4,1704.019842
-86,4,1706.382216
-70,5,1709.2606
-70,5,1712.064047
-95,7,1715.855166
-120,6,1719.497128
-86,4,1721.851515
-120,6,1725.395317
135,11,1731.063895
54,10,1736.394605
-120,6,1739.840442
-99,2,1741.175432
-95,7,1745.015032
40,8,1749.250109
-99,2,1750.585869
-95,3,1752.456726
-45,6,1755.833381
-10,9,1760.679021
-99,2,1762.009023
-86,4,1764.330347
-86,4,1766.687992
-95,3,1768.432023
-86,4,1770.818724
-86,4,1773.175866
-99,2,1774.477297
135,11,1780.150598
-99,2,1781.533944
-99,2,1782.827588
135,11,1788.610559
-99,2,1789.950617
40,8,1794.179987
-95,3,1796.022508
-136,5,1798.953048
-99,2,1800.319439
-95,3,1802.162707
-9,7,1806.007569
-95,3,1807.86264
-86,4,1810.175085
356,13,1816.395977
-99,2,1817.690793
-95,3,1819.507637
-86,4,1821.758888
-45,6,1825.020748
-95,3,1826.815551
-70,5,1829.609024
-99,2,1830.936329
185,13,1837.539634
-70,5,1840.554666
-86,4,1842.956257
-95,7,1846.902444
-70,5,1849.795965
-45,6,1853.195993
185,10,1858.332158
104,9,1862.882899
135,14,1869.804287
-45,6,1873.200557
-86,4,1875.589252
-86,4,1877.97507
-86,4,1880.33981
-9,7,1884.205754
40,8,1888.343336
-95,3,1890.216155
54,10,1895.314166
-9,7,1899.366913
-45,6,1902.713333
104,9,1907.322059
-99,2,1908.63727
-99,2,1909.995836
-9,7,1913.843917
-99,2,1915.22362
-99,2,1916.530021
-99,2,1917.829108
-99,2,1919.062993
-99,2,1920.347629
-99,2,1921.61227
-70,5,1924.424333
-70,5,1927.318221
-70,5,1930.159254
-86,4,1932.481374
85,12,1938.389574
-86,4,1940.737631
-86,4,1943.119678
-86,4,1945.469574
-9,7,1949.290388
-99,2,1950.596748
-45,6,1953.928225
-70,5,1956.884217
-70,5,1959.763075
-86,4,1962.255293
-9,7,1966.013683
-9,7,1969.917222
-95,3,1971.800491
-60,10,1976.861903
-86,4,1979.196863
-45,6,1982.694706
-95,3,1984.562995
-120,6,1987.959527
-86,4,1990.28025
-136,5,1993.163517
-9,7,1996.955258
-9,7,2000.712497
185,10,2005.785402
-45,6,2009.232434
-95,3,2011.072921
-86,4,2013.426498
-120,6,2016.830513
-95,3,2018.910646
-99,2,2020.265616
-99,2,2021.588117
-95,3,2023.42279
-60,10,2029.005074
-86,4,2031.471622
-45,6,2034.878992
40,8,2039.1432
-86,4,2041.500616
235,12,2047.365341
-86,4,2049.743051
-86,4,2052.14621
104,9,2056.704041
-99,2,2058.064273
-9,7,2061.765336
-9,7,2065.504451
-45,6,2068.873436
-136,5,2071.782663
-95,3,2073.63583
-9,7,2077.406405
-99,2,2078.748997
-99,2,2080.087009
-86,4,2082.51985
-45,6,2085.760328
-95,3,2087.537821
-99,2,2088.836244
-70,5,2091.622819
-95,3,2093.445156
-70,5,2096.290013
135,11,2102.396017
-59,8,3021.310599
-136,5,3024.667059
-9,7,3028.824916
-99,2,3030.521127
-95,3,3032.393871
-45,6,3036.6635
-10,9,3042.177881
-86,4,3044.955648
-86,4,3047.537814
-95,3,3050.317883
-9,7,3054.113911
-99,2,3056.011457
-86,4,3058.522233
-70,5,3061.679624
-70,5,3065.110201
-95,7,3069.628609
-86,4,3072.261524
-9,7,3075.923029
-99,2,3077.61565
-95,7,3988.630922
-99,2,3991.312848
-86,4,3995.127234
-86,4,3998.500174
-95,3,4000.479755
-59,8,4005.037621
104,9,4010.499054
-99,2,4012.39425
-99,2,4013.72566
-86,4,4016.134318
-70,5,4019.292488
-86,4,4021.782717
40,8,4026.493529
-99,2,4028.493522
-86,4,4030.81586
-99,2,4032.125441
185,10,4037.177491
-86,4,4039.754311
-99,2,4041.113957
-86,4,4043.856054
-95,3,4045.858261
-45,6,4049.805997
-70,5,4053.31284
-99,2,4054.658387
-86,4,4057.146176
-95,3,4059.465758
-86,4,4062.086213
-99,2,4063.545635
185,10,4069.127783
-99,2,4071.051901
-70,5,4074.25976
40,8,4079.122652
-145,8,4084.344869
-70,5,4087.803588
-95,3,4089.78345
135,11,4096.106684
-95,3,4098.396437
-99,2,4099.902671
-95,3,4102.007385
-86,4,4104.698352
-45,6,4108.52102
-136,5,4112.037752
-70,5,4115.473995
-99,2,4116.999851
-95,3,4119.0881
-59,8,4124.057285
-95,7,4128.773408
-45,6,4132.641174
4,11,4139.541271
-95,3,4141.678429
40,8,4146.679339
-95,3,4148.67183
-109,9,4154.98029
-95,3,4157.19203
-99,2,4158.982901
-70,5,4162.227001
-95,3,4164.376946
-95,3,4166.548195
-95,3,4168.865326
40,8,4173.825809
-86,4,4176.771865
104,9,4182.149815
-70,5,4185.737524
-149,3,4188.110963
-95,3,4190.305829
