r,l,t
-86,4,3070.72473
-86,4,3081.697064
-99,2,3088.27318
-95,3,3096.946764
-45,6,3111.83724
-100,1,3116.214899
-100,1,3121.205962
-86,4,3132.072845
-86,4,3142.588224
-99,2,3148.751999
-9,7,3164.668367
-99,2,3170.922778
-95,3,3179.36554
-86,4,3189.751384
-100,1,3194.462419
-100,1,3198.894665
-95,7,3217.370169
-99,2,3224.303448
-100,1,3228.995189
-100,1,3234.066343
-99,2,3241.026917
-95,3,3250.266873
-99,2,3257.433189
-100,1,3262.761033
-70,5,3276.390081
-99,2,3283.268197
-100,1,3288.1386
-99,2,3295.252732
-100,1,3300.152711
-100,1,3305.172275
-86,4,3316.174457
-100,1,3321.561997
-86,4,3332.9464
-70,5,3347.104575
-100,1,3351.673136
-95,3,3361.202619
-9,7,3378.815673
-99,2,3386.111009
-99,2,3393.179276
-100,1,3397.503641
-99,2,3404.762627
-99,2,3411.740738
-100,1,3416.763789
-149,3,3425.836375
-99,2,3433.458222
-45,6,3448.584272
-99,2,3455.802805
-100,1,3461.035175
-100,1,3465.926009
-100,1,3471.071429
-99,2,3478.102193
-100,1,3483.082168
-99,2,3490.657067
-99,2,3497.605959
-70,5,3511.025158
-100,1,3515.732549
-95,3,3525.53523
-95,3,3534.48354
-99,2,3541.930686
-95,3,3550.891735
-100,1,3556.128139
-99,2,3565.039363
-120,6,3581.356049
-136,5,3595.259147
-149,3,3605.226928
-150,2,3612.09285
-100,1,3617.01871
-100,1,3621.6124
-95,7,3639.6621
-86,4,3651.556716
-99,2,3658.564754
-100,1,3663.438504
-100,1,3668.032657
-99,2,3675.212166
-9,7,3692.370023
-99,2,3699.880117
-136,5,3713.408545
-100,1,3718.302637
104,9,3739.544549
-136,5,3753.299041
-95,3,3763.251695
-45,6,3778.33567
-86,4,3789.99731
-86,4,3802.267658
-99,2,3810.034974
-86,4,3821.586193
-45,6,3839.319847
-150,2,3846.777806
-99,2,3854.067383
-100,1,3860.101907
-99,2,3867.122698
-136,5,3881.431554
-149,3,3891.001569
-100,1,3895.524318
-100,1,3900.560509
-100,1,3905.393296
-70,5,3918.223205
-95,3,3927.60408
-136,5,3944.665744
-99,2,3952.380187
-95,3,4061.718517
-95,3,4091.528188
-136,5,6874.914384
-100,1,6985.023349
-99,2,6996.920306
-86,4,7167.531312
-86,4,7186.850844
-86,4,7205.079078
-99,2,7217.210792
-95,3,7227.281848
-86,4,7239.17743
-70,5,7253.46929
-45,6,7270.125218
-86,4,7281.670276
-100,1,7286.770258
-100,1,7291.936973
-70,5,7306.162518
-86,4,7317.535511
-100,1,7321.899851
-100,1,7326.887996
-95,3,7336.14219
-95,3,7345.653019
-95,3,7354.892645
-136,5,7367.623857
-86,4,7379.142871
-95,3,7388.814862
-100,1,7393.8609
-95,3,7403.117891
-95,3,7411.924244
-99,2,7419.64708
-86,4,7431.507247
-99,2,7438.961804
-59,8,7459.370534
-150,2,7467.300113
-95,3,7476.868584
-70,5,7491.201491
-100,1,7496.880944
-95,3,7505.694025
-100,1,7510.743051
-100,1,7516.134307
-99,2,7524.899341
-100,1,7531.271663
-99,2,7538.571498
-95,3,7547.57833
-136,5,7561.354453
-45,6,7578.597018
-86,4,7589.575375
-99,2,7597.09945
-95,3,7606.022682
-99,2,7614.356761
-95,3,7624.538717
-99,2,7632.258634
-100,1,7637.089419
-100,1,7641.413648
-95,3,7650.977969
-99,2,7657.550686
-99,2,7665.041466
-99,2,7672.081398
-86,4,7683.569158
-99,2,7691.104295
-100,1,7695.924389
-95,3,7705.030174
-100,1,7710.169117
-70,5,7723.692223
-86,4,7734.912776
-100,1,7739.892954
-99,2,7747.245618
-86,4,7758.441018
-70,5,7771.602732
-95,3,7781.122482
